template_id,file_path,branch,domain,area,difficulty,surface_model_heldout,blind_guess_floor,n_steps,n_milestone_candidates,has_instance_branching,answer_type,unit_system,values_bound,instrumentation_class,est_effort,n_inline_computed,pct_step_values_recoverable,pct_answer_values_recoverable,notes,regen_provenance,regen_inline_lenient,regen_milestone_proxy,regen_branching_base,regen_branch_evidence,regen_class_restated,regen_class_limb
template_adiabatic_flame_temperature,data/templates/branches/chemical_engineering/thermodynamics/heat_effects.py,chemical_engineering,chemical,thermodynamics,Advanced,0.2700,0.0983,6,4,yes,scalar,SI,yes,D,high,3,100,100,"scipy fsolve root-find - milestone only tolerance-reproducible. Blanket `except (..., Exception)`. while/else fallback returns a tuple with zero **Step** markers and no **Answer:**. Inherits the CP_PARAMS 10x bug: T_ad spans 1130-1493K where methane/air should be ~2200K.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",3,19,yes,prose-only,D,D:inherited-judgement
template_heat_of_reaction_formation,data/templates/branches/chemical_engineering/thermodynamics/heat_effects.py,chemical_engineering,chemical,thermodynamics,Easy,0.2567,0.2583,4,8,no,scalar,SI,yes,A,medium,4,100,100,"format_calc() emits ""(2 * -285.8) + (1 * -393.5)"" as literal text - the per-species terms are displayed but never computed, so Step 2 has no checkable intermediate.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",4,9,yes,prose-only,B,B:instance-branching
template_latent_heat_vaporization,data/templates/branches/chemical_engineering/thermodynamics/heat_effects.py,chemical_engineering,chemical,thermodynamics,Easy,,,4,4,no,scalar,SI,yes,A,low,0,100,100,1 milestone across 4 steps; 3 steps are narrative.,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,5,yes,prose-only,B,B:instance-branching
template_sensible_heat_constant_cp,data/templates/branches/chemical_engineering/thermodynamics/heat_effects.py,chemical_engineering,chemical,thermodynamics,Easy,,,5,8,no,scalar,SI,yes,A,low,1,100,100,Clean.,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",1,9,yes,prose-only,B,B:instance-branching
template_sensible_heat_temp_dependent_cp,data/templates/branches/chemical_engineering/thermodynamics/heat_effects.py,chemical_engineering,chemical,thermodynamics,Intermediate,,,5,6,no,scalar,SI,partial,A,medium,4,88,100,"DATA BUG: CP_PARAMS B and C coefficients are 10x too large (E-2/E-5 vs Smith-Van Ness E-3/E-6); Cp(N2,300K)=42.4 vs 29.1 J/mol/K. Every Q in this template is wrong.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",4,9,yes,prose-only,B,B:instance-branching
template_ideal_gas_volume,data/templates/branches/chemical_engineering/thermodynamics/volumetric_properties_pure_fluids.py,chemical_engineering,chemical,thermodynamics,Easy,,,5,7,no,scalar,SI,yes,A,low,0,100,100,Clean.,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,9,no,,A,A:residual
template_pitzer_correlation_z,data/templates/branches/chemical_engineering/thermodynamics/volumetric_properties_pure_fluids.py,chemical_engineering,chemical,thermodynamics,Intermediate,,,5,11,no,scalar,SI,partial,B,high,3,100,100,"INVERTED DEPENDENCY: Tr/Pr are the sampled primitives and T,P are derived, yet Step 2 asserts Tr=T/Tc. A depends_on DAG lifted from the trace runs opposite to the generator.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",3,12,yes,prose-only,B,B:instance-branching
template_rackett_equation_volume,data/templates/branches/chemical_engineering/thermodynamics/volumetric_properties_pure_fluids.py,chemical_engineering,chemical,thermodynamics,Easy,,,4,10,no,scalar,SI,partial,A,medium,2,100,100,2 inline. CRITICAL_PROPERTIES lookup.,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",2,13,yes,prose-only,B,B:instance-branching
template_two_phase_specific_volume,data/templates/branches/chemical_engineering/thermodynamics/volumetric_properties_pure_fluids.py,chemical_engineering,chemical,thermodynamics,Easy,,,4,8,no,scalar,SI,partial,A,medium,4,93,100,"3 inline. Names a real substance but invents V_l/V_v randomly, ignoring REAL_FLUID_DATA (Ammonia v_g 0.754 vs true 0.1284).","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",4,10,no,,A,A:residual
template_vdw_solve_for_pressure,data/templates/branches/chemical_engineering/thermodynamics/volumetric_properties_pure_fluids.py,chemical_engineering,chemical,thermodynamics,Intermediate,,,6,12,no,scalar,SI,no,A,medium,5,86,100,"5 inline - every Step-5 intermediate. Only a, b, P are bound.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",5,15,yes,prose-only,B,B:instance-branching
template_vdw_solve_for_volume,data/templates/branches/chemical_engineering/thermodynamics/volumetric_properties_pure_fluids.py,chemical_engineering,chemical,thermodynamics,Advanced,,,4,6,yes,array,SI,yes,C,high,1,100,100,"np.roots cubic; Step-3 milestone is a variable-arity root set (0.3620, 0.7383, 11.2967) whose ORDERING carries the physics. Unbounded while True gated on exactly 3 positive real roots.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,10,no,,C,C:answer_type
template_work_isothermal_virial,data/templates/branches/chemical_engineering/thermodynamics/volumetric_properties_pure_fluids.py,chemical_engineering,chemical,thermodynamics,Advanced,,,5,13,no,scalar,SI,partial,B,high,3,82,13,14 milestones in 5 steps. Sign-convention mismatch: stated formula vs rendered line disagree. Same inverted Tr->T dependency as pitzer. W_ideal_J printed outside any **Step**.,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",3,17,yes,prose-only,B,B:instance-branching
template_annulus_flowrate,data/templates/branches/chemical_engineering/transport_phenomena/shell_momentum_balances.py,chemical_engineering,chemical,transport_phenomena,Intermediate,,,5,7,no,scalar,SI,yes,D,high,0,100,100,"dP back-solved from a hidden Re_target then re-rounded, so the trace DAG runs backwards. The printed final line does not close at printed precision (4.399967e-2 x 0.1701 = 7.4844e-3, trace says 7.4840e-3).","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,11,yes,prose-only,D,D:inherited-judgement
template_falling_film_max_velocity,data/templates/branches/chemical_engineering/transport_phenomena/shell_momentum_balances.py,chemical_engineering,chemical,transport_phenomena,Easy,,,5,2,no,scalar,SI,yes,A,low,0,100,95,Fully bound. Rejection loop on v and Re.,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,5,yes,prose-only,B,B:instance-branching
template_hagen_poiseuille_flowrate,data/templates/branches/chemical_engineering/transport_phenomena/shell_momentum_balances.py,chemical_engineering,chemical,transport_phenomena,Easy,,,5,4,yes,scalar,SI,yes,A,low,0,100,95,Hidden Re<2300 check re-samples fluid/radius/length/dP and is never shown to the student. 3 of 4 milestones are unit conversions.,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,9,yes,prose-only,B,B:instance-branching
template_gas_viscosity_kinetic_theory,data/templates/branches/chemical_engineering/transport_phenomena/viscosity_and_momentum_transport.py,chemical_engineering,chemical,transport_phenomena,Intermediate,,,4,6,no,scalar,SI,partial,A,medium,2,100,100,"2 inline. Omega_mu sampled uniform(0.95,1.05) rather than derived, so the eps/k column of GAS_MOLECULAR_PARAMS is unused.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",2,8,yes,prose-only,B,B:instance-branching
template_kinematic_viscosity,data/templates/branches/chemical_engineering/transport_phenomena/viscosity_and_momentum_transport.py,chemical_engineering,chemical,transport_phenomena,Easy,,,2/3,3,yes,scalar,dual,yes,B,medium,0,100,100,"target_units choice adds/removes Step 3 entirely (SI m^2/s vs CGS Stokes). Step 2 prints 3.126e-07, Answer prints 3.1259e-07 - same quantity, two precisions.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,5,yes,step-count,B,B:instance-branching
template_newtons_law_shear_stress,data/templates/branches/chemical_engineering/transport_phenomena/viscosity_and_momentum_transport.py,chemical_engineering,chemical,transport_phenomena,Easy,,,3,6,no,multipart,SI,yes,C,low,0,100,100,Cleanest multipart; 1:1 step-to-milestone.,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,7,yes,prose-only,C,C:answer_type
template_power_law_fluid_shear,data/templates/branches/chemical_engineering/transport_phenomena/viscosity_and_momentum_transport.py,chemical_engineering,chemical,transport_phenomena,Advanced,,,4,6,yes,multipart,SI,partial,C,high,2,100,100,"Step 1 is a pure classification (shear-thinning/thickening/Newtonian) with no number, and it gates the rest.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",1,8,yes,prose-only,C,C:answer_type
template_reynolds_number_flow_regime,data/templates/branches/chemical_engineering/transport_phenomena/viscosity_and_momentum_transport.py,chemical_engineering,chemical,transport_phenomena,Intermediate,,,3,3,yes,classification,SI,yes,C,high,0,100,100,"THE canonical instance-dependent case: characteristic length is diameter (pipe) or plate length; thresholds are {2300,4000} or {500000}; answer arity 3 classes vs 2. Re printed as {:,.0f} - thousands separators break the evaluator parser (see report S8).","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,4,yes,prose-only,C,C:answer_type
template_constant_head_permeability,data/templates/branches/civil_engineering/geotechnical_engineering/permeability_seepage_effective_stress.py,civil_engineering,civil,geotechnical_engineering,Easy,,,3,2,no,scalar,SI,yes,A,low,0,100,100,Step 2 is a narrative formula derivation with no number. Assert is a constants-table membership test.,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,3,no,,A,A:residual
template_effective_stress_profile,data/templates/branches/civil_engineering/geotechnical_engineering/permeability_seepage_effective_stress.py,civil_engineering,civil,geotechnical_engineering,Intermediate,,,5,7,no,scalar,SI,yes,A,low,0,100,100,"Cleanest chain in the branch: 5 steps, 5 milestones, one number per step, zero inline.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,6,no,,A,A:residual
template_upward_seepage_quick_condition,data/templates/branches/civil_engineering/geotechnical_engineering/permeability_seepage_effective_stress.py,civil_engineering,civil,geotechnical_engineering,Intermediate,,,4,4,no,scalar,SI,yes,A,low,0,100,100,i and i_cr at 4dp because they feed a division.,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,5,no,,A,A:residual
template_borrow_pit_fill_volume,data/templates/branches/civil_engineering/geotechnical_engineering/phase_and_index_properties.py,civil_engineering,civil,geotechnical_engineering,Intermediate,,,4,4,yes,scalar,SI,yes,B,medium,1,100,100,data_form moist/phase swaps the Step-2 sub-chain and the given set; the question text changes with the branch.,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",1,6,yes,line-count,B,B:instance-branching
template_phase_relations_degree_of_saturation,data/templates/branches/civil_engineering/geotechnical_engineering/phase_and_index_properties.py,civil_engineering,civil,geotechnical_engineering,Easy,,,3,4,no,scalar,SI,yes,A,low,0,100,100,5 asserts. Textbook round-then-recompute: every step consumes the previously PRINTED value.,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,5,no,,A,A:residual
template_relative_density_of_sand,data/templates/branches/civil_engineering/geotechnical_engineering/phase_and_index_properties.py,civil_engineering,civil,geotechnical_engineering,Easy,,,3,3,no,scalar,SI,yes,A,low,0,100,100,"e deliberately carried at 4dp (3dp let the answer drift) - precision is quantity-specific, not uniform.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,5,no,,A,A:residual
template_infinite_slope_factor_of_safety,data/templates/branches/civil_engineering/geotechnical_engineering/strength_and_stability.py,civil_engineering,civil,geotechnical_engineering,Easy,,,3,4,no,scalar,SI,yes,A,low,0,100,100,Step 1 is a narrative formula-selection step with no number. tan values rounded before the division so the printed division reproduces.,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,4,no,,A,A:residual
template_terzaghi_strip_footing_bearing,data/templates/branches/civil_engineering/geotechnical_engineering/strength_and_stability.py,civil_engineering,civil,geotechnical_engineering,Intermediate,,,6,10,yes,scalar,SI,yes,B,high,0,100,100,"scenario x mode changes the governing equation, the factor table AND the mobilized cohesion. Step 1 emits NO NUMBER - it is the failure-mode verdict, and every downstream number is conditioned on it. Two exact dict-key lookups, no interpolation.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,8,yes,prose-only,B,B:instance-branching
